,hzb_v1,hzb_v2,hzb_l2,hzb_v3
E,0.0209705154552699,0.04873547791804722,0.107536803254624,0.044289728641530024
gtot,-0.0003774692781948197,0.0007549385563896949,-0.0005871744327475836,0.0005871744327475836
J,0.01165960659313009,0.015140712158704828,0.06366648492219934,0.007423562471165546
Trove_v1,0.17514574508241415,0.1244390387115715,0.19120915992115084,0.11110179088201988
Trove_v2,0.038417984314054465,0.07629073522627183,0.20144277146332257,0.14297697437403012
Trove_v3,0.0030197542255588905,0.034014176068447755,0.16549930797298995,0.12792014427714637
Trove_coeff,0.0003774692781948752,-0.0012582309273161951,0.002390638761900765,0.0008807616491213754
mu1,-0.00402633896741178,0.001006584741852945,0.0,0.001803464329153237
mu2,-0.004655454431069905,0.00041941030910536137,0.005997567420207184,-0.0016776412364215565
mu3,-0.00012582309273162506,0.00113240783458457,0.003984397936501238,0.004865159585622614
mu_all,-0.0014679360818689036,0.005032923709264725,0.0015937591746004731,-0.00226481566916914
mu1_ratio,0.0004194103091054169,-0.003942456905590752,-0.00025164618546325013,-0.0016776412364215565
mu2_ratio,-0.001551818143689987,0.0015098771127793897,0.003942456905590697,0.003942456905590752
mu3_ratio,0.0013001719582267368,0.003690810720127502,0.0032294593801115434,-0.0008388206182107782
mu_all_ratio,-0.0010904668036740284,0.0025584028855428764,0.0015098771127793897,0.0002935872163737918
mass_c_12.0,-0.00679444700750742,0.004236044121964488,0.004110221029232863,0.010149729480350644
mass_c_13.003355,0.0007968795873002921,0.0016357002055110148,0.0025164618546323902,-0.00016776412364216675
mass_o_1_15.994915,0.0018873463909743204,0.0015098771127793897,0.005871744327475559,0.007297739378433921
mass_o_1_16.999132,0.000671056494568667,-0.00046135134001595857,-0.0011743488654951117,-0.0022228746382585984
mass_o_1_17.999161,-0.009017321645766019,0.006165331543849295,0.002390638761900765,0.006458918760223142
mass_o_2_15.994915,0.004487690307427794,0.033007591326594754,0.012414545149519729,-0.0006291154636580698
mass_o_2_16.999132,0.002306756700079682,0.002390638761900765,0.0016357002055110148,-0.0006291154636580698
mass_o_2_17.999161,-0.0003774692781948197,0.0023486977309902235,0.00226481566916914,0.007004152162060184
e,0.0007549385563897504,0.0020551105146164317,0.013295306798641104,0.0015937591746005286
f,0.0014259950509583619,0.00314557731829046,0.01270813236589352,0.0018454053600637788
Sym_Adp,0.007004152162060129,0.03053307050287296,0.022690097722602,0.019670343497043163
Sym_Ap,0.008094618965734213,0.03166547833745753,0.014721301849599466,0.021264102671643692
Sym_A1,0.014679360818688925,0.054523340183701696,0.047225600805267776,0.042318500188734676
Sym_A2,0.014134127416851938,0.020760810300717192,0.010736903913098172,0.0355240531812272
Sym_B1,0.0011743488654951117,0.0018034643291531816,0.001887346390974265,0.0039005158746802104
Sym_B2,0.00016776412364216675,0.0016357002055110148,0.002390638761900765,0.004319926183785627
